ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
7397;164623;-72,43487;-35,78171;8;6,15;90;45,00053;30,03627;17,38770626;8,610047242;-72,39015764;-35,7192711;8,020765375;WellsCoppersmith;0,470577238;0,006389939;3335211735;;;
7398;164805;-68,95618;-30,44967;15,04538;6,25;90;37,06655;20,24675;9,657707091;14,63604382;-68,95535167;-30,45757566;15,34439274;Stafford;0,704013545;0,037201842;2664170408;;;
7399;164821;-68,68502;-33,86137;5;6,05;90;44,9995;0,02326875;10,68926918;11,32084388;-68,68746032;-33,86395109;4,681653519;WellsCoppersmith;0,412146798;0,036321888;1905408048;;;
7400;164827;-71,50369;-34,6126;8;6,25;90;45,00099;30,03879;6,432953266;11,96927589;-71,4849626;-34,60633908;9,175874839;WellsCoppersmith;1,292410481;0,01793737;799768317;;;
7401;164873;-68,34808;-30,86769;6;6,15;90;44,99837;0,02148692;9,678276501;13,4154342;-68,35597655;-30,85481341;4,933718566;Stafford;0,542595249;0,033550723;2160625604;;;
7402;164895;-72,07963;-32,04766;29,8208;6,65;90;14,95082;7,785775;12,61776321;23,90344602;-72,09801988;-32,02223684;29,25548212;Stafford;1,313517481;0,01327584;422706405;;;
7403;164992;-70,39165;-30,34213;7,602475;6,75;-90;45,0002;90,05615;14,29701356;21,43133947;-70,38452879;-30,3409302;7,408062435;WellsCoppersmith;1,826350386;0,101591686;1325453170;;;
7404;165047;-68,29755;-33,48765;165,2462;6,3;-90;55,52444;40,34208;13,64404307;30,09995364;-68,29698174;-33,4640915;162,7484366;WellsCoppersmith;0,28798498;0,018376026;1597004310;;;
7405;165058;-68,58414;-33,32177;15;6,65;90;45,00119;0,03769718;17,63431264;26,23394069;-68,56918254;-33,27402264;16,96039355;Stafford;0,856360598;0,019834103;2447490525;;;
7406;165070;-71,11862;-30,41117;41,30189;6,65;90;17,84768;6,966;10,82552336;24,21638552;-71,1321545;-30,38388181;40,75875734;WellsCoppersmith;1,511195048;0,10172686;1829361229;;;
7407;165077;-70,37526;-34,17536;147,2237;6,7;-90;60,09042;33,44489;13,35518112;23,48354995;-70,43037801;-34,21191401;143,3596348;Stafford;1,501292152;0,024273917;3375209839;;;
7408;165093;-70,34112;-33,83284;120,7152;6,2;-90;54,99293;38,72868;15,74993077;20,26903499;-70,37853449;-33,83680521;117,1174613;Stafford;0,262281117;0,009625769;1115255503;;;
7409;165110;-70,54929;-33,81097;96,74745;6,9;-90;54,69528;31,97622;19,53781232;34,51594777;-70,56277478;-33,76420317;90,91568477;Stafford;1,393102299;0,022828644;3701608078;;;
7410;165144;-70,75487;-35,23627;134,3651;6,1;-90;54,56824;23,12065;13,09564906;10,94395227;-70,7495556;-35,20725204;133,0095584;WellsCoppersmith;0,41359714;0,033417955;924031655;;;
7411;165193;-71,95061;-34,14268;14,26585;6,05;-90;72,128;136,5423;10,77764394;14,74602887;-71,97120112;-34,1223226;12,96033474;Stafford;0,313819433;0,03370042;30758343;;;
7412;165282;-69,09016;-32,39477;15,04538;6,05;90;37,08294;170,674;5,663061514;5,616763808;-69,09251159;-32,39164422;14,86853749;WellsCoppersmith;1,567982837;0,030144093;168789513;;;
7413;165285;-68,53796;-31,23797;4,755282;6,25;90;72,03844;18,81465;7,936574717;14,12180288;-68,5250491;-31,21825656;7,102647046;Stafford;0,887882489;0,025636237;2958498315;;;
7414;165341;-71,82295;-31,70743;32,91969;6,85;90;12,94392;7,753568;14,58659917;30,66703616;-71,86619819;-31,73291029;32,07267861;Stafford;1,767066489;0,00908132;3573903393;;;
7415;165363;-68,0363;-33,43692;169,8687;6,1;-90;55,41858;41,73907;8,440272132;12,18706612;-68,05003699;-33,43268959;167,9817163;Stafford;0,576266175;0,018959057;724118219;;;
7416;165368;-68,47344;-31,83676;9,027225;6,55;90;38,31005;9,95555;14,4553929;22,29997308;-68,47060708;-31,83069915;9,159569583;Stafford;0,87005059;0,027156032;3118493814;;;
7417;165379;-71,41952;-35,55757;112,6802;6,4;-90;53,2315;20,52533;7,936452811;14,19299794;-71,45189483;-35,59575485;110,6897798;Stafford;1,483126406;0,01439672;1980549184;;;
